Модель,MAE,RMSE,sMAPE,Время обучения (с),Время инференса (с)
AutoARIMA,2.9084084033966064,3.4656282416312187,34.02445706327783,19.06522798538208,9.487618684768677
XGBoost,2.839994430541992,3.761140170815425,32.96548416537586,0.23716211318969727,0.0019931793212890625
LSTM,2.8146934509277344,3.435027325561757,33.018746354387936,3.0913491249084473,0.0585627555847168
